aqi,pm25,pm10,noise_db,temperature,humidity,weather_condition,distance_km,place_category,place_rating,time_of_day,day_of_week,user_mood,preferred_category,max_distance,user_previous_rating,suitability_score
146,67.3,113.3,47,34.1,39,Mist/Fog,2.2,Fitness,3.6,13,5,Relax,All,5.0,0.0,29
78,42.7,89.1,45,30.6,52,Partly Cloudy,0.9,Fitness,3.7,18,1,Fresh Air,Cafes,10.0,3.7,68
109,47.0,101.2,43,32.9,65,Cloudy,7.2,Cafes,3.8,8,1,Relax,Meditation,20.0,0.0,54
48,23.6,43.0,37,30.6,69,Cloudy,0.6,Lakes,4.3,13,2,Relax,Cafes,8.0,0.0,93
122,69.7,146.8,55,32.8,75,Partly Cloudy,2.1,Cafes,3.8,16,2,Quiet Time,Meditation,5.0,0.0,51
68,39.9,76.7,39,34.2,54,Rainy,1.2,Libraries,4.3,8,7,Meditate,Lakes,8.0,3.2,86
138,75.8,138.8,58,27.5,83,Rainy,7.2,Fitness,4.5,9,6,Meditate,Fitness,5.0,0.0,6
106,54.4,118.2,57,35.5,73,Cloudy,2.8,Cafes,4.8,15,7,Relax,Lakes,5.0,0.0,37
27,17.2,37.0,42,23.8,35,Thunderstorm,9.6,Meditation,3.9,13,5,Meditate,Parks,10.0,0.0,98
49,31.2,53.0,43,25.6,45,Thunderstorm,3.0,Parks,4.6,18,6,Fresh Air,Fitness,8.0,0.0,80
65,29.7,53.5,37,28.6,35,Partly Cloudy,4.6,Libraries,3.8,7,7,Fresh Air,Cafes,5.0,4.0,71
124,64.3,133.2,40,19.7,67,Partly Cloudy,1.8,Meditation,4.2,7,6,Meditate,Meditation,15.0,0.0,84
102,49.5,104.8,50,27.7,42,Partly Cloudy,1.0,Fitness,3.9,8,4,Relax,All,15.0,0.0,59
51,21.6,44.3,50,26.7,45,Rainy,2.1,Fitness,3.7,6,4,Fresh Air,Fitness,5.0,4.6,66
140,81.6,168.9,38,20.8,49,Rainy,12.4,Libraries,4.6,7,6,Study,Cafes,20.0,3.1,69
60,26.8,52.4,38,25.3,82,Partly Cloudy,3.3,Meditation,4.4,8,4,Meditate,All,20.0,0.0,98
76,44.0,76.7,34,29.6,57,Mist/Fog,9.6,Meditation,3.5,9,1,Fresh Air,Lakes,5.0,0.0,54
98,43.1,90.5,54,35.7,75,Thunderstorm,2.9,Cafes,3.9,9,2,Relax,Parks,20.0,4.8,52
85,46.9,95.2,49,33.4,60,Mist/Fog,1.3,Fitness,3.6,19,7,Fresh Air,Parks,5.0,3.0,52
107,61.7,119.5,44,34.3,62,Mist/Fog,6.6,Cafes,4.3,19,2,Meditate,Meditation,20.0,3.7,41
50,24.4,47.2,49,31.5,81,Thunderstorm,1.2,Parks,5.0,11,4,Study,Parks,8.0,4.5,67
82,36.1,72.9,53,33.5,46,Clear,6.2,Fitness,4.0,13,2,Quiet Time,Fitness,15.0,3.4,64
59,35.0,63.4,51,35.7,61,Mist/Fog,10.1,Cafes,4.8,14,2,Study,Fitness,5.0,0.0,59
90,49.6,94.6,34,21.4,37,Thunderstorm,2.3,Meditation,4.9,12,3,Exercise,Lakes,20.0,0.0,92
90,55.1,112.0,51,30.0,51,Cloudy,4.5,Fitness,3.7,19,6,Study,Libraries,20.0,0.0,45
57,27.1,46.8,40,29.8,58,Thunderstorm,2.3,Meditation,4.3,11,6,Fresh Air,Lakes,8.0,4.0,80
62,39.6,68.9,52,20.7,37,Partly Cloudy,14.8,Fitness,4.8,8,4,Fresh Air,Lakes,20.0,0.0,71
101,44.1,88.8,65,32.0,45,Clear,6.0,Fitness,4.2,13,7,Exercise,Cafes,20.0,3.3,65
178,97.7,212.0,42,32.7,79,Thunderstorm,2.2,Libraries,4.2,11,6,Quiet Time,Libraries,20.0,0.0,64
151,78.7,137.2,55,23.1,48,Mist/Fog,1.6,Fitness,3.6,10,2,Study,Fitness,20.0,3.3,42
44,22.2,38.3,41,35.0,35,Thunderstorm,7.7,Lakes,4.1,6,3,Relax,Cafes,20.0,3.8,66
47,21.4,37.1,34,25.0,68,Clear,5.9,Meditation,4.8,10,5,Quiet Time,Meditation,8.0,0.0,99
136,57.3,106.4,41,18.9,53,Partly Cloudy,1.1,Libraries,4.0,18,3,Fresh Air,Libraries,10.0,0.0,67
56,35.7,61.9,35,18.7,36,Mist/Fog,1.3,Parks,4.4,13,2,Exercise,All,5.0,0.0,99
31,15.3,30.0,51,20.1,75,Mist/Fog,12.0,Parks,4.4,15,5,Fresh Air,Parks,5.0,0.0,95
126,76.6,133.7,61,33.3,65,Cloudy,0.8,Fitness,4.7,17,5,Meditate,All,20.0,0.0,28
134,54.0,100.0,50,35.3,66,Rainy,6.5,Cafes,4.2,22,6,Relax,Libraries,8.0,4.6,40
84,51.5,108.1,29,22.4,58,Rainy,3.6,Libraries,4.0,21,7,Quiet Time,Libraries,15.0,4.0,99
86,47.2,100.4,52,35.1,39,Thunderstorm,4.8,Cafes,4.3,13,6,Study,Lakes,15.0,0.0,65
51,24.3,47.4,42,24.2,84,Thunderstorm,3.1,Parks,4.6,14,3,Relax,Lakes,10.0,3.2,71
173,99.0,169.8,47,31.0,83,Cloudy,2.9,Lakes,5.0,12,3,Study,All,10.0,3.4,38
121,69.5,116.5,57,19.8,35,Rainy,1.5,Cafes,4.2,11,1,Relax,All,15.0,4.7,58
45,25.7,43.5,48,19.5,47,Cloudy,3.2,Parks,4.4,13,7,Relax,Cafes,15.0,0.0,86
22,14.1,23.4,40,21.8,68,Mist/Fog,0.9,Meditation,4.3,11,1,Exercise,Lakes,8.0,0.0,99
87,39.8,80.6,61,19.3,46,Rainy,1.4,Fitness,4.5,12,4,Fresh Air,Cafes,20.0,3.4,34
33,19.4,37.7,39,26.4,50,Clear,2.1,Lakes,4.3,21,4,Relax,All,10.0,3.1,99
128,52.0,90.3,38,28.6,36,Thunderstorm,5.4,Libraries,4.4,11,4,Quiet Time,Lakes,10.0,0.0,73
175,90.6,167.2,33,33.4,51,Clear,4.4,Meditation,4.5,18,7,Exercise,Meditation,10.0,0.0,56
34,21.8,40.2,43,29.8,62,Clear,2.2,Parks,4.3,21,6,Exercise,All,8.0,0.0,99
113,46.0,91.0,48,20.9,62,Mist/Fog,3.1,Lakes,3.8,9,4,Study,Cafes,5.0,0.0,47
171,80.9,163.7,54,35.6,47,Rainy,3.1,Fitness,3.8,22,6,Meditate,Cafes,15.0,0.0,5
116,70.2,124.2,32,28.4,67,Thunderstorm,7.3,Libraries,4.3,17,3,Study,Fitness,15.0,0.0,80
163,105.2,183.4,34,18.8,72,Rainy,4.6,Meditation,4.1,10,4,Exercise,Cafes,15.0,0.0,58
